"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408626899.9769;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408632087.5926;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 3*****390";;;;;;;;"26.04.2024 15:10:12";"Programm/Schrittnummer Status des BM ist : 3*****390";
45408632087.5926;1;1;3;60000;"Anlagezustand-BM : Prozess läuft ";;;;;;;;"26.04.2024 15:10:12";"Anlagezustand-BM : Prozess läuft ";
45408633844.4329;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408633844.4329;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408637343.0556;2;1;64;78;;;;;;;;;"26.04.2024 15:17:46";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408637354.6875;2;0;64;78;;;;;;;;;"26.04.2024 15:17:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408640788.8889;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408640788.8889;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408643754.9074;2;1;64;78;;;;;;;;;"26.04.2024 15:27:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408643766.412;2;0;64;78;;;;;;;;;"26.04.2024 15:27:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408644379.8264;2;1;64;78;;;;;;;;;"26.04.2024 15:27:54";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408644391.4583;2;0;64;78;;;;;;;;;"26.04.2024 15:27:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408644414.5139;2;1;64;78;;;;;;;;;"26.04.2024 15:27:57";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408644437.6968;2;0;64;78;;;;;;;;;"26.04.2024 15:27:59";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408647056.7245;2;1;64;130;;;;;;;;;"26.04.2024 15:31:46";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408647403.8426;2;0;64;130;;;;;;;;;"26.04.2024 15:32:16";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408647733.4028;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:32:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408647733.4028;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:32:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408654116.5509;2;1;64;130;;;;;;;;;"26.04.2024 15:41:56";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408654463.7847;2;0;64;130;;;;;;;;;"26.04.2024 15:42:26";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408654677.9167;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:42:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
