"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45464147120.544;2;1;64;78;;;;;;;;;"21.06.2024 03:31:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147132.1181;2;0;64;78;;;;;;;;;"21.06.2024 03:31:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147190.0579;2;1;64;78;;;;;;;;;"21.06.2024 03:31:57";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147236.2847;2;0;64;78;;;;;;;;;"21.06.2024 03:32:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147294.1667;2;1;64;78;;;;;;;;;"21.06.2024 03:32:06";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147305.7292;2;0;64;78;;;;;;;;;"21.06.2024 03:32:07";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147351.9676;2;1;64;78;;;;;;;;;"21.06.2024 03:32:11";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147398.3218;2;0;64;78;;;;;;;;;"21.06.2024 03:32:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147433.044;2;1;64;78;;;;;;;;;"21.06.2024 03:32:18";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147583.4954;2;0;64;78;;;;;;;;;"21.06.2024 03:32:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147606.6088;2;1;64;78;;;;;;;;;"21.06.2024 03:32:33";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147664.456;2;0;64;78;;;;;;;;;"21.06.2024 03:32:38";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147676.1458;2;1;64;78;;;;;;;;;"21.06.2024 03:32:39";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147687.662;2;0;64;78;;;;;;;;;"21.06.2024 03:32:40";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147699.1319;2;1;64;78;;;;;;;;;"21.06.2024 03:32:41";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147722.4421;2;0;64;78;;;;;;;;;"21.06.2024 03:32:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147745.5324;2;1;64;78;;;;;;;;;"21.06.2024 03:32:45";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147757.0486;2;0;64;78;;;;;;;;;"21.06.2024 03:32:46";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147768.6227;2;1;64;78;;;;;;;;;"21.06.2024 03:32:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147814.9769;2;0;64;78;;;;;;;;;"21.06.2024 03:32:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147838.2407;2;1;64;78;;;;;;;;;"21.06.2024 03:32:53";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147849.7454;2;0;64;78;;;;;;;;;"21.06.2024 03:32:54";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147861.331;2;1;64;78;;;;;;;;;"21.06.2024 03:32:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
